business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category
62710,Sam's Chowder Mobile,Golden Gate Park,San Francisco,CA,,37.777122,-122.419639,"(37.777122, -122.419639)",,62710_20160511,05-11-16 0:00,86,Routine - Unscheduled,62710_20160511_103139,Improper food storage,Low Risk
4960,Three Star Restaurant,2515 Noriega St,San Francisco,CA,94122,37.753583,-122.490839,"(37.753583, -122.490839)",,4960_20160413,04/13/2016 12:00:00 AM,71,Routine - Unscheduled,4960_20160413_103154,Unclean or degraded floors walls or ceilings,Low Risk
74922,Le Marais Bakery,2066 Chestnut St,San Francisco,CA,94123,,,,,74922_20160430,04/30/2016 12:00:00 AM,82,Routine - Unscheduled,74922_20160430_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
85037,The Temporarim,3414 22nd St,San Francisco,CA,94110,,,,14158420515,85037_20161206,12-06-16 0:00,90,Routine - Unscheduled,85037_20161206_103152,Unclean unmaintained or improperly constructed toilet facilities,Low Risk
66999,Super Duper Burgers,2201 Chestnut St,San Francisco,CA,94123,37.800344,-122.439697,"(37.800344, -122.439697)",,66999_20160607,06-07-16 0:00,87,Routine - Unscheduled,66999_20160607_103102,Unclean hands or improper use of gloves,High Risk
61,Chowders,Pier 39  Space A3,San Francisco,CA,94133,37.80824,-122.410189,"(37.80824, -122.410189)",,61_20150827,08/27/2015 12:00:00 AM,92,Routine - Unscheduled,61_20150827_103133,Foods not protected from contamination,Moderate Risk
61,Chowders,Pier 39  Space A3,San Francisco,CA,94133,37.80824,-122.410189,"(37.80824, -122.410189)",,61_20150827,08/27/2015 12:00:00 AM,92,Routine - Unscheduled,61_20150827_103142,Unclean nonfood contact surfaces,Low Risk
61,Chowders,Pier 39  Space A3,San Francisco,CA,94133,37.80824,-122.410189,"(37.80824, -122.410189)",,61_20150827,08/27/2015 12:00:00 AM,92,Routine - Unscheduled,61_20150827_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
4787,TONY BALONEY'S,1098 HOWARD St,San Francisco,CA,94103,37.778033,-122.40943,"(37.778033, -122.40943)",14155861514,4787_20160628,06/28/2016 12:00:00 AM,83,Routine - Unscheduled,4787_20160628_103131,Moderate risk vermin infestation,Moderate Risk
61,Chowders,Pier 39  Space A3,San Francisco,CA,94133,37.80824,-122.410189,"(37.80824, -122.410189)",,61_20140530,05/30/2014 12:00:00 AM,94,Routine - Unscheduled,61_20140530_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
61,Chowders,Pier 39  Space A3,San Francisco,CA,94133,37.80824,-122.410189,"(37.80824, -122.410189)",,61_20140530,05/30/2014 12:00:00 AM,94,Routine - Unscheduled,61_20140530_103144,Unapproved or unmaintained equipment or utensils,Low Risk
61,Chowders,Pier 39  Space A3,San Francisco,CA,94133,37.80824,-122.410189,"(37.80824, -122.410189)",,61_20140530,05/30/2014 12:00:00 AM,94,Routine - Unscheduled,61_20140530_103142,Unclean nonfood contact surfaces,Low Risk
70016,Davidstea,3870 24th St,San Francisco,CA,94114,,,,14155280515,70016_20151113,11/13/2015 12:00:00 AM,98,Routine - Unscheduled,70016_20151113_103139,Improper food storage,Low Risk
59577,Pasta Moto of San Francisco Centre LLC,845 Market St FE6,San Francisco,CA,94103,37.784848,-122.406892,"(37.784848, -122.406892)",,59577_20160502,05-02-16 0:00,72,Routine - Unscheduled,59577_20160502_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
33700,Casa Guadalupe #3,2999 MISSION,San Francisco,CA,94110,37.749194,-122.418116,"(37.749194, -122.418116)",14155875145,33700_20160412,04-12-16 0:00,90,Routine - Unscheduled,33700_20160412_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
5631,AT&T -Room 5331 GILROY GARLIC FRIES/view [145161],24 WILLIE MAYS PLAZA 5.24.02,San Francisco,CA,94107,37.778382,-122.391151,"(37.778382, -122.391151)",14155971500,5631_20160814,08/14/2016 12:00:00 AM,94,Routine - Unscheduled,5631_20160814_103118,Employee eating or smoking,Moderate Risk
5633,AT&T - FIELD CLUB CONCESSION [145185],24 WILLIE MAYS PLAZA 1.09.04,San Francisco,CA,94107,37.778382,-122.391151,"(37.778382, -122.391151)",14155971500,5633_20160814,08/14/2016 12:00:00 AM,94,Routine - Unscheduled,5633_20160814_103120,Moderate risk food holding temperature,Moderate Risk
5624,AT&T - DERBY GRILL Room 5311 [145154],24 WILLIE MAYS PLAZA 5.07.02,San Francisco,CA,94107,37.778382,-122.391151,"(37.778382, -122.391151)",14155971500,5624_20160814,08/14/2016 12:00:00 AM,96,Routine - Unscheduled,5624_20160814_103120,Moderate risk food holding temperature,Moderate Risk
3522,Bow Hon Restaurant,850 Grant Ave,San Francisco,CA,94108,37.794958,-122.406367,"(37.794958, -122.406367)",,3522_20160412,04-12-16 0:00,92,Routine - Unscheduled,3522_20160412_103120,Moderate risk food holding temperature,Moderate Risk
1942,S.F. Pizza,1270 Mission St.,San Francisco,CA,94103,37.776604,-122.414319,"(37.776604, -122.414319)",,1942_20160929,09/29/2016 12:00:00 AM,81,Routine - Unscheduled,1942_20160929_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
37633,100% Dessert Cafe,2512 Clement St,San Francisco,CA,94121,37.781988,-122.486252,"(37.781988, -122.486252)",,37633_20160519,05/19/2016 12:00:00 AM,72,Routine - Unscheduled,37633_20160519_103114,High risk vermin infestation,High Risk
